# Epoch 1, Stage 10x10, TotalSamples=10
# Column mapping: sample_idx=SampleID | sample_type=Pos/Neg | fruit_type=Input | gt_label=Code | pred_prob/pred_label=Model
sample_idx,sample_type,y,x,fruit_type,gt_label,pred_prob,pred_label
0,positive,0,0,2,0,0.000109,0
0,positive,0,1,2,0,0.000080,0
0,positive,0,2,2,0,0.000066,0
0,positive,0,3,2,0,0.000045,0
0,positive,0,4,2,0,0.000051,0
0,positive,0,5,2,0,0.000051,0
0,positive,0,6,0,0,0.000026,0
0,positive,0,7,2,0,0.000016,0
0,positive,0,8,2,0,0.000003,0
0,positive,0,9,2,0,0.000066,0
0,positive,1,0,0,0,0.000473,0
0,positive,1,1,0,0,0.000123,0
0,positive,1,2,2,0,0.000055,0
0,positive,1,3,2,0,0.000043,0
0,positive,1,4,2,0,0.000014,0
0,positive,1,5,2,0,0.000029,0
0,positive,1,6,2,0,0.000035,0
0,positive,1,7,2,0,0.000055,0
0,positive,1,8,2,0,0.000007,0
0,positive,1,9,2,0,0.000296,0
0,positive,2,0,0,0,0.000519,0
0,positive,2,1,2,0,0.000031,0
0,positive,2,2,2,0,0.000009,0
0,positive,2,3,0,0,0.000140,0
0,positive,2,4,2,0,0.000203,0
0,positive,2,5,0,1,0.056641,0
0,positive,2,6,0,1,0.143555,0
0,positive,2,7,0,1,0.255859,0
0,positive,2,8,2,0,0.302734,0
0,positive,2,9,2,0,0.005219,0
0,positive,3,0,2,0,0.001549,0
0,positive,3,1,0,0,0.005737,0
0,positive,3,2,2,0,0.014954,0
0,positive,3,3,2,0,0.005737,0
0,positive,3,4,2,0,0.000103,0
0,positive,3,5,2,0,0.000035,0
0,positive,3,6,2,0,0.000058,0
0,positive,3,7,2,0,0.003174,0
0,positive,3,8,2,0,0.000012,0
0,positive,3,9,0,0,0.000881,0
0,positive,4,0,2,0,0.000216,0
0,positive,4,1,2,0,0.000085,0
0,positive,4,2,2,0,0.000090,0
0,positive,4,3,2,0,0.002396,0
0,positive,4,4,2,1,0.000315,0
0,positive,4,5,2,1,0.003372,0
0,positive,4,6,2,1,0.004059,0
0,positive,4,7,2,0,0.001411,0
0,positive,4,8,2,0,0.000016,0
0,positive,4,9,0,0,0.000109,0
0,positive,5,0,0,0,0.000096,0
0,positive,5,1,2,0,0.000040,0
0,positive,5,2,2,0,0.000017,0
0,positive,5,3,2,0,0.000006,0
0,positive,5,4,2,0,0.000002,0
0,positive,5,5,2,0,0.000096,0
0,positive,5,6,0,1,0.052734,0
0,positive,5,7,0,1,0.000336,0
0,positive,5,8,0,1,0.000058,0
0,positive,5,9,2,0,0.000014,0
0,positive,6,0,2,0,0.000062,0
0,positive,6,1,2,0,0.000029,0
0,positive,6,2,2,0,0.000051,0
0,positive,6,3,2,0,0.000005,0
0,positive,6,4,2,0,0.000055,0
0,positive,6,5,2,0,0.001244,0
0,positive,6,6,2,0,0.031982,0
0,positive,6,7,2,0,0.000607,0
0,positive,6,8,2,0,0.000488,0
0,positive,6,9,0,0,0.000055,0
0,positive,7,0,2,0,0.000018,0
0,positive,7,1,2,0,0.000010,0
0,positive,7,2,2,0,0.000020,0
0,positive,7,3,2,0,0.000005,0
0,positive,7,4,2,0,0.000021,0
0,positive,7,5,2,0,0.000607,0
0,positive,7,6,0,0,0.019165,0
0,positive,7,7,2,0,0.000031,0
0,positive,7,8,2,0,0.000026,0
0,positive,7,9,2,0,0.000005,0
0,positive,8,0,0,0,0.000103,0
0,positive,8,1,2,0,0.000191,0
0,positive,8,2,2,0,0.000038,0
0,positive,8,3,0,0,0.000024,0
0,positive,8,4,2,1,0.000096,0
0,positive,8,5,2,1,0.002396,0
0,positive,8,6,2,1,0.000458,0
0,positive,8,7,0,0,0.000090,0
0,positive,8,8,2,0,0.000261,0
0,positive,8,9,2,0,0.001755,0
0,positive,9,0,2,0,0.000055,0
0,positive,9,1,2,0,0.000043,0
0,positive,9,2,2,0,0.000003,0
0,positive,9,3,2,0,0.000029,0
0,positive,9,4,2,0,0.000015,0
0,positive,9,5,2,0,0.000458,0
0,positive,9,6,2,0,0.000012,0
0,positive,9,7,2,0,0.000024,0
0,positive,9,8,2,0,0.000123,0
0,positive,9,9,2,0,0.000315,0
1,positive,0,0,0,0,0.000103,0
1,positive,0,1,2,0,0.092773,0
1,positive,0,2,0,0,0.000103,0
1,positive,0,3,2,0,0.011353,0
1,positive,0,4,2,0,0.269531,0
1,positive,0,5,0,0,0.031738,0
1,positive,0,6,2,0,0.134766,0
1,positive,0,7,0,0,0.000109,0
1,positive,0,8,2,0,0.000246,0
1,positive,0,9,2,0,0.000066,0
1,positive,1,0,2,1,0.871094,1
1,positive,1,1,2,1,0.847656,1
1,positive,1,2,2,1,0.210938,0
1,positive,1,3,2,0,0.349609,0
1,positive,1,4,2,0,0.546875,1
1,positive,1,5,0,0,0.001244,0
1,positive,1,6,2,0,0.730469,1
1,positive,1,7,2,0,0.000116,0
1,positive,1,8,0,0,0.000020,0
1,positive,1,9,2,0,0.000158,0
1,positive,2,0,2,0,0.000029,0
1,positive,2,1,2,0,0.222656,0
1,positive,2,2,0,1,0.730469,1
1,positive,2,3,0,0,0.609375,1
1,positive,2,4,2,0,0.839844,1
1,positive,2,5,2,0,0.001282,0
1,positive,2,6,2,0,0.921875,1
1,positive,2,7,0,0,0.033203,0
1,positive,2,8,2,0,0.000488,0
1,positive,2,9,2,0,0.000315,0
1,positive,3,0,2,0,0.000357,0
1,positive,3,1,2,0,0.726562,1
1,positive,3,2,0,1,0.871094,1
1,positive,3,3,0,0,0.949219,1
1,positive,3,4,2,0,0.960938,1
1,positive,3,5,0,0,0.925781,1
1,positive,3,6,2,0,0.828125,1
1,positive,3,7,2,0,0.069336,0
1,positive,3,8,2,0,0.000261,0
1,positive,3,9,0,0,0.000010,0
1,positive,4,0,2,0,0.013611,0
